Literature_PID;Dataset_PID;DataCite_RelationType_of_Dataset_PID_record;Scholix_link_available
10.1177/8755293020981987;10.25384/sage.c.5303302.v1;IsSupplementTo;False
10.1080/00288306.2016.1182561;10.6084/m9.figshare.3504104;IsSupplementTo;False
10.1029/2020gc009307;10.5880/gfz.1.3.2020.006;IsSupplementTo;False
10.1016/j.rse.2012.08.008;10.1594/pangaea.785492;IsSupplementTo;False
10.1038/nature10089;10.1594/pangaea.761481;IsSupplementTo;False
10.1029/2020gl089258;10.5880/gfz.1.3.2020.002;IsSupplementTo;False
10.5194/cp-9-1601-2013;10.5880/gfz.5.2.2012.002;IsSupplementTo;False
10.1093/gji/ggaa506;10.5880/gfz.4.3.2021.003;IsSupplementTo;False
10.48440/icdp.5069.002;10.5880/icdp.5069.001;IsDocumentedBy;False
10.1186/s12864-019-6024-3;10.6084/m9.figshare.9830117;IsSupplementTo;False
10.1088/1748-9326/aab5d3;10.1594/pangaea.888706;IsSupplementTo;False
10.1029/2021wr030044;10.5880/gfz.4.4.2021.001;IsSupplementTo;False
10.5194/esurf-11-731-2023;10.5880/fidgeo.2022.029;IsSupplementTo;False
10.1186/s13059-016-1119-5;10.6084/m9.figshare.c.3622709_d8;IsSupplementTo;False
10.1038/s41597-020-00678-w;10.6084/m9.figshare.12998993;IsSupplementTo;False
10.1016/j.tecto.2016.01.017;10.5880/gfz.4.1.2016.002;IsSupplementTo;False
10.3390/geosciences13010002;10.5880/fidgeo.2022.036;IsSupplementTo;False
10.1186/s40517-020-00178-5;10.6084/m9.figshare.12991853.v1;IsSupplementTo;False
10.5194/deuquasp-4-41-2022;10.5880/tereno.trsi.2023.002;IsSupplementTo;False
10.1098/rspb.2018.0621;10.5061/dryad.41pm8qf;IsCitedBy;False
10.1029/2018ja025968;10.5880/gfz.2.3.2018.005;IsSupplementTo;False
10.1186/s12964-020-00662-2;10.6084/m9.figshare.14433314;IsSupplementTo;False
10.1016/j.tecto.2016.11.013;10.5880/gfz.4.5.2020.004;IsSupplementTo;False
10.1016/j.chemgeo.2023.121811;10.5880/gfz.3.1.2023.003;IsSupplementTo;False
10.1029/2020gc008946;10.1594/pangaea.922017;IsSupplementTo;False
10.1029/2021tc007099;10.5880/fidgeo.2022.015;IsSupplementTo;False
10.1186/s12866-018-1170-3;10.6084/m9.figshare.6031289.v1;IsSupplementTo;False
10.1186/s13068-020-01765-1;10.6084/m9.figshare.c.5058277.v1;IsSupplementTo;False
10.1186/s12974-018-1242-1;10.6084/m9.figshare.c.4185845;IsSupplementTo;False
10.1186/s40168-018-0542-0;10.6084/m9.figshare.c.4249019.v1;IsSupplementTo;False
10.1124/dmd.120.091140;10.5517/ccdc.csd.cc24lc15;IsSupplementTo;False
10.1021/acs.joc.7b02871;10.5517/ccdc.csd.cc1q5pl5;IsSupplementTo;False
10.1186/s12866-018-1255-z;10.6084/m9.figshare.c.4224167.v1;IsSupplementTo;False
10.1186/s12951-018-0401-y;10.6084/m9.figshare.7109627.v1;IsSupplementTo;False
10.1186/s13059-021-02413-z;10.6084/m9.figshare.14921230.v1;IsSupplementTo;False
10.1186/s40793-020-00354-x;10.6084/m9.figshare.11925051.v1;IsSupplementTo;False
10.1186/s13643-021-01732-3;10.6084/m9.figshare.c.5492340.v1;IsSupplementTo;False
10.1186/s12864-020-06806-5;10.6084/m9.figshare.12477089.v1;IsSupplementTo;False
10.1186/s12864-020-06806-5;10.6084/m9.figshare.12477101.v1;IsSupplementTo;False
10.1186/s12933-020-01117-1;10.6084/m9.figshare.c.5178230.v1;IsSupplementTo;False
10.1061/(asce)he.1943-5584.0002097;10.23719/1520143;IsSupplementTo;False
10.1186/s13059-020-02199-6;10.6084/m9.figshare.13352183;IsSupplementTo;False
10.1186/s13059-020-02199-6;10.6084/m9.figshare.13352189.v1;IsSupplementTo;False
10.1098/rspb.2020.2653;10.6084/m9.figshare.c.5230681.v1;IsSupplementTo;False
10.1038/s41559-024-02555-w;10.6084/m9.figshare.25101977.v1;IsSupplementTo;False
10.1038/s41598-018-22178-z;10.5061/dryad.j1h2v;IsCitedBy;False
10.1021/acs.est.1c04310;10.48758/ufz.12451;IsSupplementTo;False
10.1186/s13073-020-00823-5;10.6084/m9.figshare.13572055.v1;IsSupplementTo;False
10.1890/07-1292.1;10.6084/m9.figshare.3566544;IsSupplementTo;False
10.1890/07-1292.1;10.6084/m9.figshare.3566550.v1;IsSupplementTo;False
10.1186/s40168-019-0674-x;10.6084/m9.figshare.7992080;IsSupplementTo;False
10.1186/s12898-020-00310-w;10.6084/m9.figshare.12774865.v1;IsSupplementTo;False
10.1186/s12920-022-01281-1;10.6084/m9.figshare.c.6032178;IsSupplementTo;False
10.1890/06-1870.1;10.6084/m9.figshare.3566079.v1;IsSupplementTo;False
10.1186/s12889-018-6110-5;10.6084/m9.figshare.c.4285136.v1;IsSupplementTo;False
10.1890/14-2125.1;10.6084/m9.figshare.3563325.v1;IsSupplementTo;False
10.1186/s13072-015-0035-3;10.6084/m9.figshare.c.3633569_d4.v1;IsSupplementTo;False
10.1186/s12915-016-0286-x;10.6084/m9.figshare.c.3612413_d7;IsSupplementTo;False
10.1186/s12864-020-6516-1;10.6084/m9.figshare.c.4837959.v1;IsSupplementTo;False
10.1186/s13059-021-02306-1;10.6084/m9.figshare.c.5359607.v1;IsSupplementTo;False
10.1186/s13014-016-0672-0;10.6084/m9.figshare.c.3600446_d3.v1;IsSupplementTo;False
10.1186/s12860-021-00363-9;10.6084/m9.figshare.c.5425704.v1;IsSupplementTo;False
10.1186/s13014-020-01541-3;10.6084/m9.figshare.c.4968980;IsSupplementTo;False
10.5194/acp-15-633-2015;10.5281/zenodo.10037291;IsSupplementTo;False
10.1186/s13059-022-02660-8;10.6084/m9.figshare.19498200.v1;IsSupplementTo;False
10.1038/s43247-024-01423-6;10.4121/344e24ad-b2f5-4ed9-8d49-6efa2081d30c.v1;IsSupplementTo;False
10.1073/pnas.2312008121;10.12754/data-2024-0002;IsSupplementTo;False
10.1016/j.tws.2019.106195;10.17632/j2k6tkfxk9.1;IsSupplementTo;False
10.1051/0004-6361/201732393;10.26093/cds/vizier.36350122;IsSupplementTo;False
10.1186/s12859-019-3031-y;10.6084/m9.figshare.9776579;IsSupplementTo;False
10.5194/tc-10-1991-2016;10.1594/pangaea.867875;IsSupplementTo;False
10.1177/20530196221132709;10.25384/sage.c.6343765;IsSupplementTo;False
10.1051/0004-6361/202039406;10.26093/cds/vizier.36500064;IsSupplementTo;False
10.1177/0021998320932301;10.25384/sage.c.5073157;IsSupplementTo;False
10.3390/data4030105;10.5281/zenodo.3239271;IsSupplementTo;False
10.1186/s12885-022-10075-8;10.6084/m9.figshare.21162646;IsSupplementTo;False
