Dataset_PID;Literature_PID;DataCite_RelationType_of_Dataset_PID_record;links_in_scholix;url_to_scholix
10.25384/sage.c.5303302.v1;10.1177/8755293020981987;IsSupplementTo;1;/v3/Links?sourcePid=10.25384/sage.c.5303302.v1&targetPid=10.1177/8755293020981987&relation=IsSupplementTo
10.6084/m9.figshare.3504104;10.1080/00288306.2016.1182561;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.3504104&targetPid=10.1080/00288306.2016.1182561&relation=IsSupplementTo
10.5880/gfz.1.3.2020.006;10.1029/2020gc009307;IsSupplementTo;1;/v3/Links?sourcePid=10.5880/gfz.1.3.2020.006&targetPid=10.1029/2020gc009307&relation=IsSupplementTo
10.1594/pangaea.785492;10.1016/j.rse.2012.08.008;IsSupplementTo;1;/v3/Links?sourcePid=10.1594/pangaea.785492&targetPid=10.1016/j.rse.2012.08.008&relation=IsSupplementTo
10.1594/pangaea.761481;10.1038/nature10089;IsSupplementTo;1;/v3/Links?sourcePid=10.1594/pangaea.761481&targetPid=10.1038/nature10089&relation=IsSupplementTo
10.5880/gfz.1.3.2020.002;10.1029/2020gl089258;IsSupplementTo;1;/v3/Links?sourcePid=10.5880/gfz.1.3.2020.002&targetPid=10.1029/2020gl089258&relation=IsSupplementTo
10.5880/gfz.5.2.2012.002;10.5194/cp-9-1601-2013;IsSupplementTo;1;/v3/Links?sourcePid=10.5880/gfz.5.2.2012.002&targetPid=10.5194/cp-9-1601-2013&relation=IsSupplementTo
10.5880/gfz.4.3.2021.003;10.1093/gji/ggaa506;IsSupplementTo;1;/v3/Links?sourcePid=10.5880/gfz.4.3.2021.003&targetPid=10.1093/gji/ggaa506&relation=IsSupplementTo
10.5880/icdp.5069.001;10.48440/icdp.5069.002;IsDocumentedBy;0;/v3/Links?sourcePid=10.5880/icdp.5069.001&targetPid=10.48440/icdp.5069.002&relation=IsDocumentedBy
10.6084/m9.figshare.9830117;10.1186/s12864-019-6024-3;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.9830117&targetPid=10.1186/s12864-019-6024-3&relation=IsSupplementTo
10.1594/pangaea.888706;10.1088/1748-9326/aab5d3;IsSupplementTo;1;/v3/Links?sourcePid=10.1594/pangaea.888706&targetPid=10.1088/1748-9326/aab5d3&relation=IsSupplementTo
10.5880/gfz.4.4.2021.001;10.1029/2021wr030044;IsSupplementTo;1;/v3/Links?sourcePid=10.5880/gfz.4.4.2021.001&targetPid=10.1029/2021wr030044&relation=IsSupplementTo
10.5880/fidgeo.2022.029;10.5194/esurf-11-731-2023;IsSupplementTo;1;/v3/Links?sourcePid=10.5880/fidgeo.2022.029&targetPid=10.5194/esurf-11-731-2023&relation=IsSupplementTo
10.6084/m9.figshare.c.3622709_d8;10.1186/s13059-016-1119-5;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.c.3622709_d8&targetPid=10.1186/s13059-016-1119-5&relation=IsSupplementTo
10.6084/m9.figshare.12998993;10.1038/s41597-020-00678-w;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.12998993&targetPid=10.1038/s41597-020-00678-w&relation=IsSupplementTo
10.5880/gfz.4.1.2016.002;10.1016/j.tecto.2016.01.017;IsSupplementTo;1;/v3/Links?sourcePid=10.5880/gfz.4.1.2016.002&targetPid=10.1016/j.tecto.2016.01.017&relation=IsSupplementTo
10.5880/fidgeo.2022.036;10.3390/geosciences13010002;IsSupplementTo;1;/v3/Links?sourcePid=10.5880/fidgeo.2022.036&targetPid=10.3390/geosciences13010002&relation=IsSupplementTo
10.6084/m9.figshare.12991853.v1;10.1186/s40517-020-00178-5;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.12991853.v1&targetPid=10.1186/s40517-020-00178-5&relation=IsSupplementTo
10.5880/tereno.trsi.2023.002;10.5194/deuquasp-4-41-2022;IsSupplementTo;1;/v3/Links?sourcePid=10.5880/tereno.trsi.2023.002&targetPid=10.5194/deuquasp-4-41-2022&relation=IsSupplementTo
10.5061/dryad.41pm8qf;10.1098/rspb.2018.0621;IsCitedBy;0;/v3/Links?sourcePid=10.5061/dryad.41pm8qf&targetPid=10.1098/rspb.2018.0621&relation=IsCitedBy
10.5880/gfz.2.3.2018.005;10.1029/2018ja025968;IsSupplementTo;1;/v3/Links?sourcePid=10.5880/gfz.2.3.2018.005&targetPid=10.1029/2018ja025968&relation=IsSupplementTo
10.6084/m9.figshare.14433314;10.1186/s12964-020-00662-2;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.14433314&targetPid=10.1186/s12964-020-00662-2&relation=IsSupplementTo
10.5880/gfz.4.5.2020.004;10.1016/j.tecto.2016.11.013;IsSupplementTo;1;/v3/Links?sourcePid=10.5880/gfz.4.5.2020.004&targetPid=10.1016/j.tecto.2016.11.013&relation=IsSupplementTo
10.5880/gfz.3.1.2023.003;10.1016/j.chemgeo.2023.121811;IsSupplementTo;1;/v3/Links?sourcePid=10.5880/gfz.3.1.2023.003&targetPid=10.1016/j.chemgeo.2023.121811&relation=IsSupplementTo
10.1594/pangaea.922017;10.1029/2020gc008946;IsSupplementTo;1;/v3/Links?sourcePid=10.1594/pangaea.922017&targetPid=10.1029/2020gc008946&relation=IsSupplementTo
10.5880/fidgeo.2022.015;10.1029/2021tc007099;IsSupplementTo;1;/v3/Links?sourcePid=10.5880/fidgeo.2022.015&targetPid=10.1029/2021tc007099&relation=IsSupplementTo
10.6084/m9.figshare.6031289.v1;10.1186/s12866-018-1170-3;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.6031289.v1&targetPid=10.1186/s12866-018-1170-3&relation=IsSupplementTo
10.6084/m9.figshare.c.5058277.v1;10.1186/s13068-020-01765-1;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.c.5058277.v1&targetPid=10.1186/s13068-020-01765-1&relation=IsSupplementTo
10.6084/m9.figshare.c.4185845;10.1186/s12974-018-1242-1;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.c.4185845&targetPid=10.1186/s12974-018-1242-1&relation=IsSupplementTo
10.6084/m9.figshare.c.4249019.v1;10.1186/s40168-018-0542-0;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.c.4249019.v1&targetPid=10.1186/s40168-018-0542-0&relation=IsSupplementTo
10.5517/ccdc.csd.cc24lc15;10.1124/dmd.120.091140;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccdc.csd.cc24lc15&targetPid=10.1124/dmd.120.091140&relation=IsSupplementTo
10.5517/ccdc.csd.cc1q5pl5;10.1021/acs.joc.7b02871;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccdc.csd.cc1q5pl5&targetPid=10.1021/acs.joc.7b02871&relation=IsSupplementTo
10.6084/m9.figshare.c.4224167.v1;10.1186/s12866-018-1255-z;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.c.4224167.v1&targetPid=10.1186/s12866-018-1255-z&relation=IsSupplementTo
10.6084/m9.figshare.7109627.v1;10.1186/s12951-018-0401-y;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.7109627.v1&targetPid=10.1186/s12951-018-0401-y&relation=IsSupplementTo
10.6084/m9.figshare.14921230.v1;10.1186/s13059-021-02413-z;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.14921230.v1&targetPid=10.1186/s13059-021-02413-z&relation=IsSupplementTo
10.6084/m9.figshare.11925051.v1;10.1186/s40793-020-00354-x;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.11925051.v1&targetPid=10.1186/s40793-020-00354-x&relation=IsSupplementTo
10.6084/m9.figshare.c.5492340.v1;10.1186/s13643-021-01732-3;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.c.5492340.v1&targetPid=10.1186/s13643-021-01732-3&relation=IsSupplementTo
10.6084/m9.figshare.12477089.v1;10.1186/s12864-020-06806-5;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.12477089.v1&targetPid=10.1186/s12864-020-06806-5&relation=IsSupplementTo
10.6084/m9.figshare.12477101.v1;10.1186/s12864-020-06806-5;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.12477101.v1&targetPid=10.1186/s12864-020-06806-5&relation=IsSupplementTo
10.6084/m9.figshare.c.5178230.v1;10.1186/s12933-020-01117-1;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.c.5178230.v1&targetPid=10.1186/s12933-020-01117-1&relation=IsSupplementTo
